Date,Open,High,Low,Close,Adj Close,Volume
2017-08-01,41.209999,43.090000,36.709999,39.750000,32.650120,9158400
2017-09-01,39.849998,43.540001,37.110001,42.980000,35.303200,5993000
2017-10-01,42.990002,48.470001,42.450001,47.610001,40.048416,6480400
2017-11-01,47.669998,48.389999,42.049999,45.869999,38.584770,7748600
2017-12-01,45.930000,52.139999,45.119999,50.730000,42.672886,5079400
2018-01-01,51.000000,55.990002,48.740002,55.380001,47.491543,4812200
2018-02-01,55.049999,76.680000,51.610001,75.980003,65.157227,11451700
2018-03-01,75.870003,79.660004,64.570000,65.580002,56.238640,10544300
2018-04-01,65.449997,81.690002,64.260002,79.339996,68.675446,6508900
2018-05-01,79.080002,81.779999,62.259998,63.450001,54.921318,10278600
2018-06-01,63.770000,82.620003,61.889999,74.800003,64.745705,7841800
2018-07-01,74.500000,75.760002,68.010002,71.029999,61.990829,6144600
2018-08-01,72.000000,85.800003,69.230003,83.419998,72.804092,7753300
2018-09-01,84.419998,95.000000,77.779999,81.309998,70.962616,7405600
2018-10-01,81.269997,89.839996,74.599998,81.040001,71.275848,8247600
2018-11-01,83.430000,95.089996,83.430000,89.180000,78.435097,5685600
2018-12-01,89.720001,90.470001,66.540001,67.339996,59.226498,6007100
2019-01-01,66.620003,83.540001,65.629997,76.269997,67.637505,6930600
2019-02-01,78.489998,101.180000,76.830002,99.199997,87.972214,7236700
2019-03-01,99.879997,99.879997,82.320000,91.290001,80.957504,8417300
2019-04-01,91.449997,95.150002,85.820000,88.660004,79.257614,8032800
2019-05-01,88.669998,94.489998,81.709999,94.419998,84.406769,8571400
2019-06-01,94.150002,99.120003,90.279999,95.470001,85.345413,5940700
2019-07-01,95.860001,104.000000,77.989998,82.089996,73.911690,8582300
2019-08-01,80.449997,85.180000,70.250000,70.550003,63.521385,8394100
2019-09-01,70.330002,76.330002,70.110001,75.860001,68.302376,5395400
2019-10-01,76.019997,78.099998,68.019997,73.150002,66.488503,7194600
2019-11-01,73.110001,83.620003,72.120003,82.879997,75.332413,4567100
2019-12-01,82.680000,85.209999,79.500000,83.519997,75.914139,4947700
2020-01-01,83.709999,89.949997,83.709999,85.250000,78.145767,5033000
2020-02-01,85.550003,104.470001,79.629997,81.849998,75.029091,6547300
2020-03-01,80.949997,90.300003,14.160000,28.680000,26.289978,29158800
2020-04-01,26.110001,48.570000,18.930000,44.389999,42.595043,30250600
2020-05-01,42.000000,53.459999,30.600000,45.389999,43.554611,19611500
2020-06-01,45.500000,64.330002,37.389999,42.099998,40.397648,23260600
2020-07-01,42.470001,47.970001,34.310001,45.430000,43.592991,17007200
2020-08-01,45.119999,63.110001,43.950001,59.560001,57.151634,12001600
2020-09-01,58.830002,66.949997,50.770000,54.590000,52.382599,10796500
2020-10-01,55.250000,61.049999,50.740002,51.450001,49.369572,8380500
2020-11-01,52.380001,69.629997,49.369999,62.970001,60.423748,8158800
2020-12-01,64.620003,71.889999,56.599998,58.000000,55.654713,7564300
2021-01-01,58.720001,77.769997,56.500000,68.760002,65.979622,8584300
2021-02-01,69.150002,82.720001,68.089996,79.110001,75.911102,6121400
2021-03-01,80.419998,93.360001,74.529999,90.029999,86.389549,10475200
2021-04-01,91.000000,98.750000,87.680000,96.650002,92.741867,6112600
2021-05-01,97.330002,100.699997,89.220001,94.949997,91.110603,5186400
2021-06-01,95.989998,98.199997,85.000000,89.250000,85.641090,4931100
2021-07-01,89.809998,91.300003,74.660004,77.470001,74.337425,3756600
2021-08-01,77.930000,85.000000,70.040001,82.720001,79.375145,5355500
2021-09-01,83.089996,89.019997,77.000000,81.209999,77.926193,3906300
2021-10-01,81.930000,87.839996,78.000000,84.510002,81.092758,3705200
2021-11-01,85.080002,95.000000,70.739998,71.820000,68.915878,6206700
2021-12-01,73.910004,82.120003,69.910004,75.809998,72.744545,6040000
2022-01-01,76.400002,81.599998,61.380001,67.849998,65.468422,6588700
2022-02-01,68.349998,84.139999,67.870003,83.839996,80.897163,5364900
2022-03-01,83.230003,83.769997,62.860001,77.949997,75.213913,8558700
2022-04-01,77.980003,78.709999,69.300003,71.690002,69.585548,3351800
2022-05-01,71.160004,77.639999,64.820000,73.489998,71.332703,6754900
2022-06-01,73.910004,75.739998,61.299999,65.080002,63.169582,4681300
2022-07-01,64.949997,71.410004,63.700001,71.309998,69.731812,3319600
2022-08-01,70.919998,76.949997,66.550003,66.599998,65.126053,4549900
2022-09-01,66.150002,75.760002,61.029999,63.560001,62.153332,4838800
2022-10-01,64.040001,74.220001,61.849998,72.089996,70.995697,4356300
2022-11-01,73.019997,76.120003,68.449997,74.589996,73.457741,5453400
2022-12-01,75.000000,75.370003,63.389999,64.599998,63.619385,4828900
2023-01-01,65.269997,79.760002,64.750000,77.309998,76.718872,4520800
2023-02-01,77.699997,82.430000,74.220001,76.669998,76.083763,4888100
